Gender,Age,Years of programming experience,Years of experience in agile projects,GPA,Highest level of education,Willingness to travel,Performance after 1 year
1,23,0,0,2.8450416230718547,3,0,1
0,20,0,0,2.6,1,1,0
1,25,0,0,3.2817613990426513,1,1,1
1,28,0,0,2.8474870300921085,1,1,1
0,26,0,0,2.8,1,0,0
0,49,21,18,2.546264234102872,3,0,1
1,26,0,0,2.7,2,1,0
1,37,14,10,2.8344954751648617,2,1,1
1,23,0,0,2.969293726792137,1,1,1
0,34,10,2,3.187993570690291,2,0,1
0,26,0,0,3.03504458321314,1,0,1
0,40,14,8,2.6,3,0,0
0,40,16,15,2.9361749444191463,2,1,1
0,20,0,0,3.0,2,0,0
1,46,21,16,2.9,2,0,0
1,39,10,7,2.510472417452773,0,0,1
1,34,11,6,2.5980527201673627,2,1,1
1,23,0,0,2.7,2,0,0
1,25,2,0,2.878714186716921,3,0,1
1,43,14,10,2.7,2,0,0
1,20,0,0,3.210602983104518,2,1,1
1,34,11,3,3.2,2,0,0
1,38,9,3,2.747482560720248,2,1,1
0,22,0,0,2.9,1,0,0
1,22,3,0,2.938296359056614,0,0,1
1,27,0,0,2.9566547199942304,0,1,1
0,32,6,4,2.9,1,1,0
0,46,19,16,3.018730202739541,2,0,1
1,52,25,22,3.165862279591266,3,1,1
1,20,0,0,2.9324897141606154,1,0,1
1,33,8,0,2.5,2,0,0
1,20,0,0,3.020105236902508,3,0,1
1,43,19,18,3.1438920903156498,0,0,1
0,31,8,7,3.1761603871529895,2,0,1
1,38,14,11,3.237181250494075,2,0,1
1,46,20,11,2.8,2,0,0
1,28,1,0,2.9335420120488833,1,0,1
0,23,0,0,3.381324026388123,2,0,1
1,43,13,9,2.9886661984171017,2,0,1
1,36,9,5,2.8,2,0,0
0,37,12,9,3.2,2,0,0
1,26,3,2,2.9,2,0,0
1,40,27,20,3.546466982041319,4,0,1
0,33,6,0,2.6,2,0,0
1,53,32,31,2.844669486895511,1,1,1
0,31,11,6,2.920805969233241,3,0,1
1,44,19,15,3.0854511666776796,0,1,1
1,32,10,9,2.9612813896332373,3,1,1
0,53,25,18,3.1,1,0,0
1,40,15,14,2.461786388004321,2,1,1
1,40,14,11,3.2445538537231915,1,1,1
0,35,11,3,2.4,2,1,0
1,32,8,0,3.0276496527427086,2,1,1
0,29,2,0,2.8602060639409057,2,0,1
0,32,8,5,2.6,1,0,0
0,32,9,6,2.9,1,1,0
0,33,8,7,3.253285534300871,3,0,1
1,43,17,16,3.194633126692959,0,0,1
1,29,7,4,3.5543671145809763,0,1,1
0,40,15,9,3.1,2,0,0
1,39,15,11,2.8456153480215396,0,0,1
0,20,0,0,2.6266059277507625,2,0,1
1,40,13,6,3.0,2,0,0
1,20,0,0,2.8,2,1,0
1,40,19,13,2.579524568657422,0,1,1
1,21,0,0,3.501257458865319,0,1,1
0,30,5,2,2.8,2,0,0
0,35,12,0,3.154418652372538,2,0,1
1,34,13,11,2.9764161049679143,1,1,1
1,23,0,0,3.331989055373265,2,0,1
0,35,12,7,3.000536270424447,2,0,1
1,23,0,0,2.9421382346652276,2,0,1
1,37,16,5,3.1103118991124736,1,1,1
1,33,6,1,3.0153117729473955,2,1,1
0,31,3,0,3.2,2,1,0
0,42,17,13,2.9,1,0,0
1,30,8,5,2.9992832216965057,0,1,1
1,33,7,0,3.3135759843612753,1,0,1
1,32,12,11,2.8761637038223604,2,0,1
0,44,21,16,2.9249321759983182,2,0,1
1,20,0,0,2.6043776726024355,1,0,1
0,36,6,0,3.1,2,0,0
1,46,23,18,3.0846853310327402,4,1,1
1,29,3,0,3.0086169979848423,3,0,1
0,20,0,0,2.6,1,0,0
1,30,3,0,2.7,2,0,0
1,25,0,0,3.660280538721996,3,0,1
0,30,5,0,3.042742313640308,3,0,1
1,23,0,0,3.265317879953446,3,0,1
1,23,0,0,2.8,3,0,0
0,24,0,0,2.7,1,1,0
0,36,10,9,3.1774744884307387,2,0,1
1,23,0,0,3.0,2,1,0
1,29,3,2,3.4917470578405507,1,1,1
0,34,7,0,3.1,2,0,0
0,30,7,0,2.7,1,0,0
1,50,22,19,2.8,2,1,0
1,40,9,1,2.5988080214588147,0,0,1
1,34,11,10,2.9401171026315174,3,0,1
0,38,16,13,3.0,1,0,0
1,54,29,25,3.048808607649591,1,0,1
1,37,10,5,2.8,1,0,0
1,20,0,0,3.0891553350331105,2,0,1
0,40,18,13,2.7970165894508776,2,0,1
1,43,18,13,3.131730712882522,1,1,1
1,26,0,0,2.171335536357173,1,0,1
0,33,9,7,2.879356717620529,2,0,1
1,36,7,6,3.0,3,0,0
1,49,16,9,3.321718609058968,2,0,1
1,45,25,21,2.292602962235612,1,1,1
1,36,9,5,3.0176753288241827,0,1,1
0,30,3,0,2.9215812418783145,2,0,1
1,60,38,37,2.960990711961199,1,0,1
1,21,0,0,2.8196789397503705,1,1,1
1,39,13,9,3.054555608010025,0,1,1
1,44,15,14,2.6,2,1,0
0,44,20,17,3.328442153952027,1,0,1
1,21,0,0,3.3692012131720968,2,0,1
1,31,6,3,3.0267997893234524,1,1,1
1,46,20,19,3.251594374079203,1,1,1
1,31,3,0,3.0576916751295853,1,1,1
1,20,0,0,2.7032320204225244,2,0,1
0,31,8,4,2.8044545144050423,2,0,1
1,33,6,0,3.6438170881163243,0,0,1
1,38,16,9,3.0076226911024073,3,1,1
1,47,21,18,2.667913961712999,1,1,1
0,39,3,0,2.4,0,1,0
1,26,2,0,2.8,3,0,0
1,39,17,14,3.1,1,0,0
0,48,20,18,2.9686381839243223,2,0,1
1,32,10,6,3.7451178663312623,2,1,1
1,31,12,5,2.55256677980734,1,0,1
0,29,5,0,2.9,2,0,0
1,28,0,0,3.4928471723516656,1,0,1
0,43,10,0,2.5,2,0,0
1,26,0,0,3.315001351302101,2,1,1
0,30,0,0,2.6,2,0,0
1,55,36,33,2.70448648912969,0,0,1
0,27,7,6,2.826923102638451,1,0,1
0,43,20,13,3.123782923810112,2,0,1
1,31,4,1,2.7,2,1,0
1,27,2,1,2.7,3,0,0
0,41,14,8,3.0,1,0,0
0,39,9,0,2.8,1,0,0
0,39,11,8,2.7,1,1,0
0,36,10,0,2.9,2,0,0
1,20,0,0,2.854428460427433,0,0,1
1,37,12,7,3.4336962459782194,1,0,1
1,35,11,8,3.316296878373803,1,1,1
1,33,1,0,2.8,2,0,0
0,44,16,5,2.7,1,0,0
1,48,29,18,3.054443195079676,0,0,1
1,44,20,11,2.9341410473111047,1,1,1
1,35,9,5,3.085912987194883,1,1,1
1,36,14,13,2.870231767619007,0,0,1
1,42,20,17,2.858914520593534,1,1,1
0,26,0,0,3.3819889868715265,2,0,1
1,45,30,25,3.109706058218938,1,0,1
1,20,4,0,2.8,2,1,0
1,35,4,1,3.56451886513584,1,0,1
0,20,0,0,2.6,2,0,0
1,28,9,4,3.0493379860732146,2,0,1
0,27,0,0,2.2328483889470943,2,0,1
0,39,17,13,3.0108562257735856,3,0,1
1,30,11,4,3.0693182450187297,1,0,1
0,20,0,0,2.9561061853849284,2,0,1
1,39,10,6,3.20618611891589,0,0,1
1,36,14,8,3.001743776036246,2,0,1
1,40,20,14,2.7404964749923884,3,1,1
1,24,7,0,2.4,2,0,0
1,43,19,16,2.6,2,1,0
1,35,13,10,3.593184951043125,2,0,1
1,32,5,0,3.728225224923367,2,1,1
1,32,4,0,3.3473619577954543,1,0,1
1,27,3,2,2.9,2,0,0
0,26,0,0,2.499336387387579,3,0,1
1,20,0,0,2.9,2,0,0
1,39,15,5,3.037469358940243,2,1,1
1,40,9,0,3.1,2,0,0
0,40,13,8,3.1,3,0,0
1,40,21,15,2.528009204996625,1,1,1
0,39,13,12,2.8961879983573198,2,0,1
1,28,0,0,3.7658518847227747,2,1,1
1,31,1,0,3.083102203223856,1,1,1
1,40,19,17,2.853641479672781,1,0,1
1,37,9,5,3.3662842574181067,1,1,1
1,29,2,0,2.7,2,0,0
1,29,3,2,2.9,1,1,0
1,32,5,0,2.8,2,0,0
1,46,22,20,2.7,3,0,0
1,34,9,2,2.6,2,0,0
1,42,17,14,3.1,2,0,0
1,42,18,17,3.200821686941249,1,0,1
0,39,14,13,3.079820968431153,3,0,1
0,20,0,0,2.8,2,0,0
1,20,0,0,3.3113730412501416,1,0,1
1,36,5,0,3.0,3,0,0
1,33,13,8,3.226592974353962,0,1,1
0,35,12,9,2.7,2,0,0
1,37,16,9,2.9149437676250303,2,0,1
1,20,0,0,3.2484471349399358,1,0,1
0,30,3,0,3.0,2,1,0
1,49,23,22,3.1348069696775616,0,0,1
1,20,0,0,2.6,1,0,0
0,50,26,25,2.4439346413432887,2,0,1
0,28,3,0,3.0,1,0,0
1,38,10,8,3.0,2,0,0
0,32,4,0,2.7,2,1,0
1,34,8,2,3.553813517963593,0,0,1
1,41,14,6,3.70576159521168,2,0,1
1,36,18,15,2.678167243717172,0,0,1
1,20,0,0,2.6218690565263048,2,0,1
1,35,12,9,3.1981304612869703,0,1,1
1,45,27,18,2.3938324153102433,0,0,1
1,35,6,5,2.8,3,0,0
1,29,5,3,3.5549656065614466,0,1,1
0,44,18,14,3.0,2,0,0
0,32,8,3,2.6,2,0,0
1,25,0,0,3.044002615944959,1,0,1
0,37,7,5,3.272841047575989,2,0,1
1,40,14,9,2.4861434010124412,2,1,1
1,36,12,3,2.894930965621343,0,1,1
1,31,8,0,2.766408131995963,0,1,1
1,42,22,19,2.988042880316299,3,1,1
1,32,9,7,3.2520933573984374,0,1,1
0,36,7,6,3.1266907037926748,2,0,1
1,25,0,0,2.7,3,0,0
1,45,25,19,3.0317127157189505,2,1,1
1,33,6,4,2.9,2,0,0
1,41,22,20,2.4921875492373142,2,0,1
1,28,5,4,3.1795568944113812,2,0,1
1,32,7,2,2.9770920305231128,3,1,1
0,35,5,0,2.8,2,0,0
1,38,15,10,2.4,2,1,0
0,37,14,13,2.5465496118004642,2,0,1
1,43,17,15,3.3330474716814824,1,0,1
1,50,18,15,2.8,3,0,0
1,29,7,0,2.6,3,0,0
1,37,10,3,3.275587382755515,1,0,1
0,33,8,0,3.0620382548027805,3,0,1
1,28,4,2,3.023274275205466,2,0,1
1,39,14,12,2.6,2,0,0
1,23,0,0,2.90244439161174,2,1,1
1,41,19,8,3.6275206067746435,1,1,1
1,32,6,1,2.8775921806621403,1,0,1
1,41,19,14,3.4252669884878446,2,0,1
0,25,0,0,3.1,1,1,0
1,44,20,16,2.8269778486950505,3,0,1
1,38,15,14,2.9071700440616066,2,0,1
1,42,16,13,2.6773329676346997,1,0,1
1,20,0,0,3.4613719624505124,0,1,1
1,21,0,0,2.7,3,0,0
1,40,17,16,3.043324909855475,0,1,1
1,43,21,17,2.8181961576559855,0,1,1
1,28,0,0,3.0,2,1,0
1,54,24,16,3.607498336046338,2,0,1
1,35,13,10,3.282180549095599,1,1,1
0,33,13,9,2.7,2,0,0
1,20,0,0,2.7,2,0,0
1,29,1,0,2.8,2,1,0
0,30,4,2,2.790394108576791,2,0,1
0,20,0,0,3.1,1,0,0
1,48,21,12,2.9,2,1,0
0,29,3,1,3.077768064199263,2,0,1
0,34,8,3,2.9,1,1,0
1,28,0,0,3.577357321530377,1,0,1
1,21,0,0,2.6,2,0,0
1,30,13,4,2.6877045814089433,1,0,1
1,31,4,0,2.9,2,1,0
0,22,0,0,3.0,1,0,0
1,35,7,3,2.5574746928171925,2,0,1
0,50,23,20,2.7,2,1,0
1,24,0,0,2.8361965249095857,1,1,1
1,41,21,16,3.4533954577261956,1,0,1
1,24,0,0,2.8,2,1,0
1,36,7,0,3.47276784521311,0,1,1
1,40,12,11,3.1,2,1,0
0,23,0,0,3.0,2,0,0
1,35,12,11,2.5,3,0,0
0,26,0,0,2.4,2,0,0
0,20,0,0,3.2,2,0,0
1,38,13,8,2.6,2,0,0
1,27,0,0,2.9,2,0,0
0,27,3,1,2.4,2,0,0
1,36,10,8,2.8866512853842123,2,1,1
1,25,0,0,3.0433790043966886,2,1,1
1,20,0,0,2.8,2,0,0
1,39,15,12,2.9964926177005906,1,0,1
0,23,0,0,2.7,2,0,0
1,49,27,24,3.4976979991196284,1,0,1
1,35,9,7,3.357529980060329,0,1,1
1,26,0,0,2.9,2,0,0
0,26,2,0,3.2,2,0,0
1,26,1,0,3.310566587754394,2,1,1
1,30,8,5,2.9909049202884956,1,0,1
1,28,7,4,2.8,2,1,0
1,51,25,17,3.122916648473977,0,1,1
1,35,8,5,3.0,2,0,0
1,30,9,6,3.0531017009680226,2,0,1
1,43,12,9,2.8,2,0,0
1,44,18,15,2.6,2,0,0
1,20,0,0,2.7,2,0,0
0,39,13,9,2.7,2,0,0
1,39,10,9,2.8,2,1,0
1,46,21,16,3.3,2,0,0
1,42,18,14,2.672860303991387,0,0,1
1,29,7,0,3.121910464520347,1,1,1
0,44,20,17,3.0,1,1,0
1,43,17,11,3.420083992136684,1,1,1
0,32,2,0,3.505074832703326,3,0,1
1,24,0,0,2.6065802979847676,3,0,1
1,45,21,18,3.358207965872075,2,0,1
1,21,0,0,3.057103207803327,0,0,1
0,20,0,0,2.3827856619634975,2,0,1
1,44,24,22,3.2553871927469284,1,0,1
1,28,0,0,3.0921381709973312,1,1,1
1,23,0,0,3.28034737063737,0,0,1
1,29,8,0,3.106442835890899,0,0,1
0,29,3,2,3.487778044553679,2,0,1
1,39,14,10,3.053494139343567,3,1,1
1,31,5,2,3.1111261356938735,0,1,1
0,40,19,14,2.6,2,0,0
1,46,13,12,2.9,2,0,0
1,39,15,11,3.6027144309939025,3,0,1
1,55,30,14,2.4427932638338934,3,0,1
1,43,24,23,3.3780617414659853,1,0,1
0,26,2,0,3.2,1,1,0
1,30,0,0,3.1737075343091887,3,1,1
0,29,6,0,2.9,2,0,0
1,35,8,1,3.5476977903708278,0,1,1
0,28,5,1,2.9,1,0,0
0,54,33,26,3.4071680823037527,2,0,1
0,27,1,0,3.167841382647515,3,0,1
0,28,3,1,3.099396052369611,2,1,1
0,30,1,0,3.0,1,0,0
1,24,0,0,2.9,3,0,0
1,24,0,0,2.5,2,0,0
1,38,7,1,3.0,2,1,0
1,50,28,21,2.9,2,0,0
0,25,1,0,2.7,1,1,0
1,42,19,11,3.2,2,0,0
0,20,0,0,2.919378084866246,2,0,1
1,28,2,1,2.5,3,0,0
1,32,9,5,2.811655978381515,2,1,1
1,40,14,0,3.0156274085184407,1,1,1
0,38,16,13,3.0064788053480678,2,0,1
1,33,7,0,2.9,2,1,0
0,37,13,1,2.921574070620895,3,0,1
1,46,25,18,2.947964652971947,0,0,1
0,40,11,5,2.9322525577609038,2,0,1
1,40,12,10,2.9,2,0,0
0,48,27,23,2.5844329995781083,2,0,1
1,38,17,6,3.8641009709894365,1,1,1
0,21,0,0,2.8,2,0,0
0,41,14,4,3.0,2,0,0
1,42,16,14,3.6186858794995906,1,0,1
0,40,15,14,2.9216896999747117,1,0,1
0,22,0,0,2.6,1,1,0
1,29,3,1,2.9,2,1,0
0,32,6,4,2.7,2,0,0
0,37,16,12,2.8,2,0,0
1,24,0,0,2.9845523412624124,1,0,1
1,27,1,0,3.6659414957023113,1,1,1
0,37,6,2,2.7,1,1,0
0,44,22,20,3.0143571627737535,2,1,1
1,30,5,0,3.1816653664375214,1,0,1
0,34,9,8,2.8,1,1,0
1,22,0,0,2.726183657406947,0,1,1
1,20,1,0,2.312671332217528,2,1,1
1,29,3,2,3.2,3,1,0
1,20,3,0,3.4683612820149974,0,1,1
1,20,0,0,2.6,2,0,0
1,39,16,11,3.9342010605355604,2,1,1
1,47,18,4,3.283294851288463,1,1,1
1,30,2,0,2.672836233668192,2,0,1
1,41,17,16,2.9,2,1,0
0,22,0,0,2.7,2,0,0
1,20,3,0,3.036236403068292,2,0,1
0,27,1,0,3.244516590088714,2,0,1
0,53,29,24,2.8,2,0,0
1,20,0,0,3.568411690747923,0,0,1
1,36,12,9,2.9866323490905877,2,1,1
1,24,0,0,3.1224014811949234,2,0,1
1,42,16,15,3.541603851808407,3,1,1
1,25,0,0,2.9,1,1,0
1,26,2,0,3.4171962446991504,1,1,1
1,20,0,0,3.124147952995883,1,1,1
1,31,11,9,2.6160604783327592,2,0,1
1,33,3,0,2.2540301375671117,1,1,1
0,37,10,0,3.0,1,1,0
1,49,23,19,3.276119382339056,1,1,1
0,26,0,0,2.7,2,0,0
1,21,0,0,3.350318381037641,2,1,1
0,36,10,4,2.8,1,1,0
0,35,10,6,3.29984029104439,2,0,1
1,20,0,0,2.7,2,0,0
1,26,3,0,3.0203747506455625,1,1,1
1,38,15,9,2.983571861082549,2,0,1
0,58,30,26,2.9,1,0,0
0,43,17,15,2.9,1,0,0
1,35,10,5,3.8364198145760944,0,1,1
1,25,0,0,3.176155047316486,0,1,1
1,33,12,11,2.5,2,0,0
0,28,0,0,2.6,1,0,0
1,20,0,0,3.861294896796049,0,1,1
0,34,6,0,2.8,2,0,0
1,36,10,6,2.835661820074846,2,0,1
0,38,24,17,2.8232618016498017,2,0,1
0,25,2,0,2.663198371179611,2,0,1
1,20,0,0,2.521615383965425,0,1,1
1,34,8,1,3.007682214305089,0,1,1
1,26,2,0,2.903119841171993,1,0,1
1,38,7,0,2.8612264982167424,0,0,1
1,29,2,0,2.8569367683488163,2,1,1
0,25,1,0,2.7,2,1,0
1,40,20,11,3.097516779762243,1,0,1
1,28,4,0,3.5200633692439336,1,1,1
1,37,10,6,3.4431283971681608,0,1,1
1,20,0,0,3.530385384880562,0,0,1
1,53,32,28,2.9192631381738616,1,1,1
1,48,24,16,3.0,2,0,0
1,27,1,0,2.843484530911914,2,1,1
1,32,11,8,2.9193842240753023,1,0,1
1,20,0,0,2.9,2,0,0
1,53,28,21,2.9,3,0,0
1,32,14,6,3.028187179011362,1,1,1
1,38,13,11,3.6077807425449624,3,1,1
1,25,0,0,2.9,2,1,0
1,30,4,1,2.0831948507194085,0,0,1
1,28,1,0,2.9,3,0,0
1,33,12,9,3.222346174040231,0,1,1
1,34,8,7,2.7847555092522964,3,0,1
1,41,15,14,2.9,2,0,0
1,25,0,0,3.535552180951793,2,0,1
0,31,8,6,2.5011750225422045,2,0,1
1,46,24,20,2.3920044514201595,1,0,1
0,20,0,0,3.0,2,1,0
0,34,10,5,3.0,2,1,0
1,21,0,0,3.3821131583040063,1,1,1
1,38,17,10,2.9,2,1,0
1,35,9,7,3.0270023305670084,2,1,1
1,38,11,5,2.9,2,0,0
1,28,0,0,3.023702952235555,1,0,1
1,23,0,0,2.8,2,0,0
1,47,23,21,3.2913328151329457,1,1,1
1,33,5,0,3.0302434838262444,2,0,1
1,49,24,22,3.4448746194383393,1,0,1
0,46,18,15,2.8,1,0,0
0,22,0,0,2.91580141896378,2,0,1
0,32,7,1,2.9,2,0,0
0,35,6,5,3.357838201757599,2,0,1
1,33,13,12,3.122605209375817,0,1,1
0,46,16,5,3.2,0,1,0
1,28,0,0,3.0,3,0,0
1,34,10,0,3.0,2,0,0
1,38,17,11,3.136789335841638,1,0,1
1,20,0,0,2.9,2,1,0
1,20,0,0,2.7658685787256427,1,1,1
0,20,0,0,2.9,2,0,0
0,48,21,17,2.6312324068756094,2,0,1
0,29,0,0,3.0,2,0,0
0,35,14,4,2.8,2,0,0
1,34,4,2,2.82515708438221,1,1,1
0,25,0,0,2.6,2,0,0
1,24,0,0,3.0769233591687812,1,0,1
1,30,7,0,3.577111113084462,2,0,1
1,35,5,0,2.7183767254530684,3,1,1
1,28,3,0,2.7645788295076583,0,1,1
1,30,0,0,2.6,3,0,0
1,20,0,0,2.7,2,1,0
1,44,18,16,3.0,2,0,0
1,33,7,0,2.3,2,0,0
1,36,12,7,2.764129690971604,2,0,1
1,48,24,18,2.732657494722825,1,0,1
0,33,0,0,2.7,2,0,0
1,32,7,0,3.100087786314973,0,1,1
1,26,1,0,2.8792122954585504,2,0,1
0,31,5,1,3.0,1,1,0
0,27,1,0,2.7,2,0,0
0,53,28,26,3.0,2,1,0
1,35,11,3,2.848313352189831,2,1,1
0,43,15,9,2.6,1,1,0
0,26,0,0,2.814898116237816,3,0,1
1,41,10,7,2.918023412249606,0,1,1
1,39,17,14,3.023580581328745,3,0,1
1,32,3,2,2.879013365696857,0,0,1
0,35,7,1,2.8803281480159986,2,0,1
0,33,10,2,2.974699513590218,3,0,1
1,34,9,3,2.8,2,1,0
1,36,9,6,2.952811857841648,0,0,1
1,26,1,0,3.33334130393252,2,1,1
1,39,16,10,3.291892697472298,1,1,1
1,37,9,0,2.6,1,0,0
1,28,0,0,2.8561791345158403,1,0,1
1,26,0,0,3.6728338343167133,0,0,1
1,45,21,20,3.0485104335473903,2,1,1
1,35,8,4,2.7,2,0,0
1,36,7,3,2.6,2,1,0
1,20,0,0,3.0,2,0,0
1,33,11,0,3.328925693093851,0,1,1
1,36,7,2,2.9,2,0,0
1,25,2,0,2.8014433134453527,1,0,1
1,30,4,0,2.79737923142877,3,0,1
1,42,18,16,3.3688938703680202,3,1,1
0,45,15,13,3.1022665272132484,2,0,1
1,41,10,5,3.4538350763643106,0,1,1
1,30,5,4,3.0,2,0,0
0,45,14,6,2.7,2,0,0
0,39,7,4,2.7,2,0,0
1,32,9,5,2.9,2,0,0
1,39,15,10,2.758337266851834,0,0,1
1,47,13,11,3.278624895915352,2,0,1
1,33,4,0,2.9,2,0,0
1,31,7,1,2.8915258151068164,0,0,1
0,20,0,0,2.763740169811353,2,0,1
0,30,3,0,2.6,2,1,0
0,39,10,8,3.3,2,0,0
0,37,13,7,2.6,2,1,0
1,20,0,0,3.604426218006882,3,0,1
0,31,7,6,2.8346548281605672,2,0,1
1,40,15,13,3.012449255653233,3,1,1
1,31,6,3,3.129822753417707,1,0,1
1,32,9,2,3.0,2,0,0
0,35,10,7,2.7,2,1,0
0,31,3,0,2.9,2,0,0
1,34,9,5,2.6,2,0,0
1,34,7,2,2.8,2,0,0
1,34,10,3,3.602199368530109,0,0,1
0,52,30,27,3.486629973704933,2,0,1
1,25,0,0,3.6750777175440583,1,0,1
0,41,14,7,2.8,2,1,0
1,27,3,1,3.075567094843088,1,0,1
1,36,17,8,3.190130146824012,0,0,1
0,25,0,0,3.038226932746165,3,0,1
0,28,0,0,2.8,2,0,0
0,27,0,0,2.9,1,0,0
0,41,11,0,2.6,2,1,0
0,39,11,7,3.009528465587128,2,0,1
1,41,18,17,3.229378657010683,1,1,1
0,43,21,19,2.9628727789254685,2,0,1
0,35,14,6,3.0,2,0,0
1,29,6,0,3.2908762549970274,2,0,1
0,44,21,16,3.563342236346191,3,0,1
1,20,0,0,2.7495928023234195,0,1,1
1,28,7,0,2.8872151391496126,0,0,1
1,33,8,0,2.1557480164915215,2,1,1
0,30,4,0,2.7593057991615164,2,0,1
1,36,9,7,3.6143723424692453,1,0,1
1,24,1,0,2.8,3,0,0
1,31,1,0,2.842779889690393,1,1,1
1,24,0,0,2.750874955678964,0,1,1
0,32,9,7,3.29010244685898,2,0,1
1,32,11,9,2.8918668711178044,3,0,1
1,38,9,3,2.8,2,0,0
1,34,10,9,2.5,3,1,0
1,42,15,11,3.317750172336755,2,1,1
1,20,0,0,2.7,2,0,0
1,37,9,8,2.29857458132632,1,1,1
1,35,14,11,3.1182716134151085,2,1,1
1,33,6,4,3.395253667385575,1,1,1
1,30,9,3,2.7,2,1,0
1,28,0,0,3.287883378363227,2,1,1
1,38,6,0,2.8,2,0,0
1,24,0,0,3.2008238790083623,3,0,1
1,50,29,23,3.2212123452902373,2,0,1
1,28,0,0,2.8,2,1,0
0,20,0,0,3.1934210242933334,2,0,1
0,33,6,3,2.9550397530833235,1,1,1
1,20,0,0,3.0,2,0,0
1,49,22,20,2.9369423164402617,0,1,1
1,20,0,0,3.03531144379075,0,0,1
1,32,10,4,3.0222799935177695,0,1,1
0,20,0,0,3.1291354161944422,1,0,1
1,33,3,0,2.8,3,0,0
0,27,0,0,3.1533219114957243,2,0,1
